id,referred_name,hostname,ip,port,username,password,status,exempted
1,Student01,wordpro01,,,pi,12345,offline,true
2,Student02,wordpro02,,,pi,12345,offline,false
3,Student03,wordpro03,,,pi,12345,offline,false
4,Student04,wordpro04,,,pi,12345,offline,false
5,Student05,wordpro05,,,pi,12345,offline,false
6,Student06,wordpro06,,,pi,12345,offline,false
7,Student07,wordpro07,,,pi,12345,offline,false
8,Student08,wordpro08,,,pi,12345,offline,false
9,Student09,wordpro09,,,pi,12345,offline,false
10,Student10,wordpro10,,,pi,12345,offline,false
11,Student11,wordpro11,,,pi,12345,offline,false
12,Student12,wordpro12,,,pi,12345,offline,false
13,Student13,wordpro13,,,pi,12345,offline,false
14,Student14,wordpro14,,,pi,12345,offline,false
15,Student15,wordpro15,,,pi,12345,offline,false
16,Student16,wordpro16,,,pi,12345,offline,false
17,Student17,wordpro17,,,pi,12345,offline,false
18,Student18,wordpro18,,,pi,12345,offline,false
19,Student19,wordpro19,,,pi,12345,offline,false
20,Student20,wordpro20,,,pi,12345,offline,false
21,Student21,wordpro21,,,pi,12345,offline,false
22,Student22,wordpro22,,,pi,12345,offline,false
23,Student23,wordpro23,,,pi,12345,offline,false
24,Student24,wordpro24,,,pi,12345,offline,false
